Site,Site_full,Lat,Long
STR,Stairs,34.73,-120.616
SLR,Seal Rock,44.505,-124.085
SH,Strawberry Hill,44.25,-124.115
ARA,Cape Arago,43.304,-124.402
BMR,Bodega Marine Reserve,38.319,-123.074
CBL,Cape Blanco,42.841,-124.565
FC,Fogarty Creek,44.838,-124.059
FR,Fort Ross,38.512,-123.255
HZD,Hazards,35.29,-120.884
SBR,Soberanes Point,36.448,-121.929
PSG,Point Saint George,41.771,-124.253
KH,Kibesillah Hill,39.605,-123.789
STC,Shelter Cove,40.03,-124.081
PL,Point Lobos,36.519,-121.954
VD,Van Damme,39.281,-123.804
OCT,Occulto,34.881,-120.64
PB,Piedras Blancas,35.666,-121.287
PGP,Pigeon Point,37.185,-122.398
PSN,Point Sierra Nevada,35.729,-121.319
